Episode: 288 | Reward: -10.25 | Epsilon: 0.9715 | Reason: collision
Episode: 289 | Reward: -8.46 | Epsilon: 0.9714 | Reason: collision
Episode: 290 | Reward: -10.48 | Epsilon: 0.9713 | Reason: collision
Episode: 291 | Reward: -14.30 | Epsilon: 0.9712 | Reason: collision
Episode: 292 | Reward: -13.86 | Epsilon: 0.9711 | Reason: collision
Episode: 293 | Reward: -15.79 | Epsilon: 0.9710 | Reason: collision
Episode: 294 | Reward: -14.91 | Epsilon: 0.9709 | Reason: collision
Episode: 295 | Reward: -13.22 | Epsilon: 0.9708 | Reason: collision
Episode: 296 | Reward: -6.08 | Epsilon: 0.9707 | Reason: collision
Episode: 297 | Reward: -13.70 | Epsilon: 0.9706 | Reason: collision
Episode: 298 | Reward: -11.91 | Epsilon: 0.9705 | Reason: collision
Episode: 299 | Reward: -12.47 | Epsilon: 0.9704 | Reason: collision
Episode: 300 | Reward: -10.88 | Epsilon: 0.9703 | Reason: collision
Episode: 301 | Reward: -11.94 | Epsilon: 0.9702 | Reason: collision
Episode: 302 | Reward: -16.79 | Epsilon: 0.9702 | Reason: collision
Episode: 303 | Reward: -13.65 | Epsilon: 0.9701 | Reason: collision
Episode: 304 | Reward: -12.16 | Epsilon: 0.9700 | Reason: collision
Episode: 305 | Reward: -13.57 | Epsilon: 0.9699 | Reason: collision
Episode: 306 | Reward: -10.24 | Epsilon: 0.9698 | Reason: collision
Episode: 307 | Reward: -12.98 | Epsilon: 0.9697 | Reason: collision
Episode: 308 | Reward: -15.34 | Epsilon: 0.9696 | Reason: collision
Episode: 309 | Reward: -11.35 | Epsilon: 0.9695 | Reason: collision
Episode: 310 | Reward: -11.68 | Epsilon: 0.9694 | Reason: collision
Episode: 311 | Reward: -11.14 | Epsilon: 0.9693 | Reason: collision
Episode: 312 | Reward: 30.45 | Epsilon: 0.9692 | Reason: goal
Episode: 313 | Reward: -11.23 | Epsilon: 0.9691 | Reason: collision
Episode: 314 | Reward: -12.30 | Epsilon: 0.9690 | Reason: collision
Episode: 315 | Reward: -11.19 | Epsilon: 0.9689 | Reason: collision
Episode: 316 | Reward: -9.07 | Epsilon: 0.9688 | Reason: collision
Episode: 317 | Reward: -10.44 | Epsilon: 0.9687 | Reason: collision
Episode: 318 | Reward: -14.49 | Epsilon: 0.9686 | Reason: collision
Episode: 319 | Reward: -16.51 | Epsilon: 0.9685 | Reason: collision
Episode: 320 | Reward: -13.11 | Epsilon: 0.9684 | Reason: collision
Episode: 321 | Reward: -10.67 | Epsilon: 0.9683 | Reason: collision
Episode: 322 | Reward: -7.93 | Epsilon: 0.9682 | Reason: collision
Episode: 323 | Reward: -16.70 | Epsilon: 0.9681 | Reason: collision
Episode: 324 | Reward: -7.98 | Epsilon: 0.9680 | Reason: collision
Episode: 325 | Reward: -8.38 | Epsilon: 0.9679 | Reason: collision
Episode: 326 | Reward: -11.97 | Epsilon: 0.9678 | Reason: collision
Episode: 327 | Reward: -10.04 | Epsilon: 0.9677 | Reason: collision
Episode: 328 | Reward: -8.40 | Epsilon: 0.9676 | Reason: collision
Episode: 329 | Reward: -10.35 | Epsilon: 0.9675 | Reason: collision
Episode: 330 | Reward: -15.43 | Epsilon: 0.9674 | Reason: collision
Episode: 331 | Reward: -11.12 | Epsilon: 0.9673 | Reason: collision
Episode: 332 | Reward: -14.07 | Epsilon: 0.9672 | Reason: collision
Episode: 333 | Reward: -10.89 | Epsilon: 0.9672 | Reason: collision
Episode: 334 | Reward: -8.81 | Epsilon: 0.9671 | Reason: collision
Episode: 335 | Reward: -11.48 | Epsilon: 0.9670 | Reason: collision
Episode: 336 | Reward: -14.47 | Epsilon: 0.9669 | Reason: collision
Episode: 337 | Reward: -10.14 | Epsilon: 0.9668 | Reason: collision
Episode: 338 | Reward: -10.23 | Epsilon: 0.9667 | Reason: collision
Episode: 339 | Reward: -13.66 | Epsilon: 0.9666 | Reason: collision
Episode: 340 | Reward: -9.05 | Epsilon: 0.9665 | Reason: collision
Episode: 341 | Reward: -9.05 | Epsilon: 0.9664 | Reason: collision
Episode: 342 | Reward: -11.12 | Epsilon: 0.9663 | Reason: collision
Episode: 343 | Reward: -14.18 | Epsilon: 0.9662 | Reason: collision
Episode: 344 | Reward: -10.17 | Epsilon: 0.9661 | Reason: collision
Episode: 345 | Reward: -11.85 | Epsilon: 0.9660 | Reason: collision
Episode: 346 | Reward: -11.72 | Epsilon: 0.9659 | Reason: collision
Episode: 347 | Reward: -15.62 | Epsilon: 0.9658 | Reason: collision
Episode: 348 | Reward: -10.29 | Epsilon: 0.9657 | Reason: collision
Episode: 349 | Reward: -12.06 | Epsilon: 0.9656 | Reason: collision
Episode: 350 | Reward: -13.75 | Epsilon: 0.9655 | Reason: collision
Episode: 351 | Reward: -12.76 | Epsilon: 0.9654 | Reason: collision
Episode: 352 | Reward: -13.05 | Epsilon: 0.9653 | Reason: collision
Episode: 353 | Reward: -11.53 | Epsilon: 0.9652 | Reason: collision
Episode: 354 | Reward: -11.95 | Epsilon: 0.9651 | Reason: collision
Episode: 355 | Reward: -12.41 | Epsilon: 0.9650 | Reason: collision
Episode: 356 | Reward: -10.14 | Epsilon: 0.9649 | Reason: collision
Episode: 357 | Reward: -15.73 | Epsilon: 0.9648 | Reason: collision
Episode: 358 | Reward: -10.42 | Epsilon: 0.9647 | Reason: collision
Episode: 359 | Reward: -9.88 | Epsilon: 0.9646 | Reason: collision
Episode: 360 | Reward: -10.28 | Epsilon: 0.9645 | Reason: collision
Episode: 361 | Reward: -12.69 | Epsilon: 0.9644 | Reason: collision
Episode: 362 | Reward: -12.04 | Epsilon: 0.9643 | Reason: collision
Episode: 363 | Reward: -9.70 | Epsilon: 0.9643 | Reason: collision
Episode: 364 | Reward: -11.57 | Epsilon: 0.9642 | Reason: collision
Episode: 365 | Reward: -10.14 | Epsilon: 0.9641 | Reason: collision
Episode: 366 | Reward: -10.99 | Epsilon: 0.9640 | Reason: collision
Episode: 367 | Reward: -9.74 | Epsilon: 0.9639 | Reason: collision
